id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,norm_cpu
14069,43000.0,2023 01 25T20:54:26.000Z,BIR EL DJIR,,TRANSFORMER,,INTEL CORE I3 4030U,8GB,,1TB,13.3,,1366x768,,i3 4030u
14070,43000.0,2025 03 14T19:34:00.000Z,KOUBA,JAMAIS UTILIS,,,INTEL CORE I3,4GB,,500GB,15.6,,,,i3
14071,43000.0,2025 08 09T16:09:07.000Z,DAR EL BEIDA,JAMAIS UTILIS,VIVOBOOK,,INTEL CELERON N4020,4GB,256GB,1TB,15.0,,,,celeron n4020
14072,43000.0,2021 01 06T21:41:00.000Z,BENI SAF,,VIVOBOOK,,INTEL CELERON N3350,4GB,500GB,,,,,,celeron n3350
14073,43000.0,2021 10 08T17:38:46.000Z,GUIGBA,,IDEAPAD,,INTEL CELERON N3060,2GB,,,,,,,celeron n3060
14074,43000.0,2020 11 25T11:51:48.000Z,OUENZA,BON TAT,THINKPAD,,INTEL CELERON N2840,8GB,,500GB,,,,DDR3,celeron n2840
14075,43000.0,2025 08 11T10:46:11.000Z,EZZOUAR,,PAVILION,,AMD RYZEN 3 3250U,4GB,128GB,,15.6,,1920x1080 FHD,,amd ryzen 3 3250u
14076,43000.0,2023 01 08T18:04:58.000Z,ALGER CENTRE,JAMAIS UTILIS,ELITEBOOK,,AMD PRO A8 8600B,4GB,,320GB,12.5,,,DDR3L,amd pro a8 8600b
14077,43000.0,2025 07 31T13:28:09.000Z,EZZOUAR,BON TAT,THINKPAD,,8TH GEN INTEL CORE I7 8550U,8GB,256GB,,13.0,,1920x1080 FHD,,8th gen i7 8550u
14078,43000.0,2025 08 05T17:04:58.000Z,BARRAHEL,BON TAT,LATITUDE,,8TH GEN INTEL CORE I5 8265U,8GB,256GB,,13.3,,,,8th gen i5 8265u
14079,43000.0,2024 08 01T10:59:50.000Z,EZZOUAR,,PAVILION,,8TH GEN INTEL CORE I5 8265U,8GB,256GB,,14.0,,FHD,DDR4,8th gen i5 8265u
14080,43000.0,2024 08 20T08:25:22.000Z,HUSSEIN DEY,,THINKPAD,,8TH GEN INTEL CORE I5 8250U,8GB,256GB,,12.5,,,DDR4,8th gen i5 8250u
14081,43000.0,2024 08 25T19:39:23.000Z,BABA HASSEN,BON TAT,SWIFT,,8TH GEN INTEL CORE I5,8GB,256GB,,,,,,8th gen i5
14082,43000.0,2025 05 28T18:14:23.000Z,BARIKA,,LATITUDE,,8TH GEN INTEL CORE I5,8GB,256GB,,14.0,,,,8th gen i5
14083,43000.0,2025 07 30T15:08:36.000Z,MEDEA,,LATITUDE,,8TH GEN INTEL CORE I5,8GB,256GB,,14.0,,,,8th gen i5
14084,43000.0,2025 05 27T11:43:08.000Z,MOSTAGANEM,BON TAT,LATITUDE,,8TH GEN INTEL CORE I5,8GB,250GB,,14.0,,,,8th gen i5
14085,43000.0,2025 05 23T14:00:23.000Z,MSILA,,INSPIRON,,8TH GEN INTEL CORE I5,8GB,256GB,,14.0,,1920x1080 FHD,,8th gen i5
14086,43000.0,2025 07 20T18:24:38.000Z,ZERALDA,BON TAT,LATITUDE,NVIDIA GEFORCE GT 930MX,7TH GEN INTEL CORE I5 7440HQ,,,,,,,,7th gen i5 7440hq
14087,43000.0,2025 04 19T17:34:55.000Z,BIRKHADEM,,THINKPAD,,7TH GEN INTEL CORE I5 7300U,8GB,,500GB,14.0,,,DDR4,7th gen i5 7300u
14088,43000.0,2025 06 24T15:33:42.000Z,AIN NAADJA,,LATITUDE,,7TH GEN INTEL CORE I5,8GB,256GB,,14.0,,,,7th gen i5
14089,43000.0,2024 11 29T17:35:00.000Z,EL KHROUB,,LATITUDE,,7TH GEN INTEL CORE I5,8GB,256GB,,14.5,,,,7th gen i5
14090,43000.0,2025 06 24T15:38:07.000Z,AIN NAADJA,,THINKPAD,,7TH GEN INTEL CORE I5,8GB,256GB,,14.0,,,,7th gen i5
14091,43000.0,2025 05 28T15:27:46.000Z,BARIKA,,LATITUDE,,6TH GEN INTEL CORE I7,8GB,256GB,,14.0,,,,6th gen i7
14092,43000.0,2025 01 31T15:20:14.000Z,BORDJ EL KIFFAN,BON TAT,VIVOBOOK,NVIDIA GEFORCE GTX 950,6TH GEN INTEL CORE I5 6300U,4GB,,1TB,17.0,,,,6th gen i5 6300u
14093,43000.0,2025 07 30T12:20:59.000Z,EZZOUAR,,ELITEBOOK,,6TH GEN INTEL CORE I5 6300U,8GB,256GB,,14.0,,1920x1080,DDR4,6th gen i5 6300u
14094,43000.0,2025 08 04T13:23:56.000Z,MOHAMMADIA,BON TAT,PROBOOK,,6TH GEN INTEL CORE I5,8GB,512GB,,15.0,,,,6th gen i5
14095,43000.0,2025 06 24T10:17:58.000Z,MOHAMMADIA,BON TAT,PROBOOK,,6TH GEN INTEL CORE I5,8GB,512GB,,15.0,,,,6th gen i5
14096,43000.0,2020 12 19T09:56:26.000Z,GHARDAIA,,VIVOBOOK,,6TH GEN INTEL CELERON N3350,4GB,,500GB,15.6,,,DDR4,6th gen celeron n3350
14097,43000.0,2024 12 05T10:27:40.000Z,EL ACHOUR,BON TAT,THINKPAD,,5TH GEN INTEL CORE I7,8GB,256GB,,14.0,,,,5th gen i7
14098,43000.0,2025 08 02T07:13:03.000Z,EL MOURADIA,,MACBOOK,,5TH GEN INTEL CORE I5 5250U,8GB,256GB,,13.0,,,,5th gen i5 5250u
14099,43000.0,2022 10 06T02:06:02.000Z,BIRTOUTA,BON TAT,,,4TH GEN INTEL CORE I5,6GB,,1TB,11.0,,,,4th gen i5
14100,42999.0,2025 07 08T17:35:57.000Z,BOUIRA,JAMAIS UTILIS,LATITUDE,,INTEL CORE I5,8GB,265GB,,14.0,,1920x1080,,i5
14101,42900.0,2024 11 19T13:11:48.000Z,ORAN,JAMAIS UTILIS,THINKPAD,,AMD 3020E,4GB,,1TB,15.6,,,,amd 3020e
14102,42900.0,2025 03 13T13:08:57.000Z,ORAN,BON TAT,PROBOOK,,6TH GEN INTEL CORE I5 6300U,8GB,256GB,,14.1,,,,6th gen i5 6300u
14103,42800.0,2025 07 14T11:38:02.000Z,ALGER CENTRE,,THINKPAD,,INTEL CORE I7 6600U,8GB,256GB,,14.0,,1920x1080 FHD,DDR3,i7 6600u
14104,42500.0,2025 07 29T08:04:11.000Z,BEJAIA,,ELITEBOOK,,INTEL CORE I5 6300U,8GB,256GB,,14.0,,,DDR4,i5 6300u
14105,42500.0,2023 07 22T17:50:32.000Z,DAR EL BEIDA,BON TAT,PAVILION,,INTEL CORE I3 3110M,4GB,,512GB,15.0,,,,i3 3110m
14106,42500.0,2025 07 29T08:11:04.000Z,BEJAIA,,PAVILION,,7TH GEN INTEL CORE I5 7Y54,8GB,256GB,,12.5,,,DDR4,7th gen i5 7y54
14107,42500.0,2025 07 26T13:39:00.000Z,EL OUED,,LATITUDE,,7TH GEN INTEL CORE I5 7300,8GB,256GB,,12.0,,,,7th gen i5 7300
14108,42500.0,2024 11 16T09:20:39.000Z,EZZOUAR,,PROBOOK,,6TH GEN INTEL CORE I5 6300U,8GB,256GB,,14.0,,1920x1080,DDR4,6th gen i5 6300u
14109,42500.0,2024 09 07T11:38:05.000Z,SOUK AHRAS,,LATITUDE,,6TH GEN INTEL CORE I5,8GB,256GB,,14.0,,,,6th gen i5
14110,42500.0,2025 06 12T09:32:32.000Z,CORSO,,LATITUDE,,6TH GEN INTEL CORE I5,8GB,128GB,,,,,,6th gen i5
14111,42500.0,2025 07 12T11:12:08.000Z,BIRTOUTA,,PAVILION,,6TH GEN INTEL CORE I5,8GB,256GB,,,,,,6th gen i5
14112,42000.0,2022 12 07T18:08:24.000Z,EZZOUAR,BON TAT,VIVOBOOK,,INTEL PENTIUM N5405U,8GB,256GB,,13.3,,1920x1080,DDR4,pentium n5405u
14113,42000.0,2025 07 21T11:19:46.000Z,ALGER CENTRE,,VIVOBOOK,,INTEL PENTIUM GOLD 5405U,4GB,,,14.0,60Hz,FHD,DDR4,pentium gold 5405u
