id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,mapped_cpu_name,match_score,cores,cpu_mark,tdp,gpu_name,match_type
8207,92000.0,2025 07 22T08:34:45.000Z,EZZOUAR,,LATITUDE,,11TH GEN INTEL CORE I7 1185G7,32GB,512GB,,13.0,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8208,92000.0,2025 08 10T11:45:16.000Z,EZZOUAR,,ELITEBOOK,,11TH GEN INTEL CORE I7 1185G7,16GB,256GB,,14.0,,1920x1080,DDR4,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8209,92000.0,2025 07 22T17:01:13.000Z,AIN TAYA,,PAVILION,,11TH GEN INTEL CORE I7 1185G7,32GB,512GB,,,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8210,92000.0,2025 07 16T15:45:56.000Z,EZZOUAR,,ELITEBOOK,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,15.6,,1920x1080,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8211,92000.0,2025 07 26T10:50:37.000Z,EZZOUAR,,ZBOOK,,11TH GEN INTEL CORE I7 1185G7,16GB,256GB,,14.0,,1920x1080 FHD,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8212,92000.0,2024 08 15T13:49:59.000Z,EZZOUAR,BON TAT,ELITEBOOK,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,15.0,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8213,92000.0,2025 08 05T08:25:12.000Z,EZZOUAR,,ELITEBOOK,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,13.0,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8214,92000.0,2024 09 01T11:29:32.000Z,EZZOUAR,BON TAT,SURFACE,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,14.0,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8215,92000.0,2024 09 01T11:29:23.000Z,EZZOUAR,,SURFACE,,11TH GEN INTEL CORE I7 1185G7,16GB,512GB,,13.0,,,,Intel Core i7-1185G7 @ 3.00GHz,69.23076923076923,4,"10,010",15.0,Intel Iris Xe Graphics,fuzzy
8216,92000.0,2024 11 09T08:26:50.000Z,EZZOUAR,,ASPIRE,,11TH GEN INTEL CORE I7 1165G7,16GB,512GB,,17.0,,,,Intel Core i7-1165G7 @ 2.80GHz,69.23076923076923,4,"9,839",15.0,Intel Iris Xe Graphics,fuzzy
