id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,mapped_cpu_name,match_score,cores,cpu_mark,tdp,gpu_name,match_type,gpu_match_score,gpu_g3d_mark,gpu_g2d_mark,gpu_tdp,is_generic_cpu,cpu_generation,cpu_tier,mapped_cpu_tier,inference_level
1381,250000.0,2025 03 09T13:51:41.000Z,SAID HAMDINE,JAMAIS UTILIS,INSPIRON,,INTEL CORE ULTRA 5 125U,16GB,512GB,,16.0,,,LPDDR5X,Intel Core Ultra 5 125U,100.0,2.0,"16,989",15.0,Intel Arc Graphics,fuzzy_tier_validated,100.0,"5,440",629,75.0,False,,ultra5,ultra5,
1382,250000.0,2025 07 01T21:16:57.000Z,BEJAIA,JAMAIS UTILIS,SURFACE,,INTEL CORE ULTRA 5,8GB,256GB,,,,,,Generic INTEL ULTRA 5,100.0,3.0,17801,17.0,Intel Arc Graphics,generic (based on 14 CPUs),100.0,"5,440",629,75.0,True,,ultra5,ultra5,
1383,250000.0,2024 09 30T08:59:46.000Z,EZZOUAR,BON TAT,OMEN,NVIDIA GEFORCE RTX 4060,INTEL CORE I7 13700HX,32GB,1TB,,16.0,,,,Intel Core i7-13700HX,100.0,8.0,"32,047",55.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,13,i7,i7,
1384,250000.0,2024 11 05T14:04:34.000Z,EZZOUAR,JAMAIS UTILIS,THINKPAD,,INTEL CORE I7 1365U,32GB,512GB,,14.0,,,DDR5,Intel Core i7-1365U,100.0,2.0,"13,840",15.0,Intel UHD Graphics 770,fuzzy_tier_validated,100.0,"5,967",567,230.0,False,13,i7,i7,
1385,250000.0,2025 07 06T11:59:01.000Z,EZZOUAR,JAMAIS UTILIS,THINKPAD,,INTEL CORE I7 1365U,32GB,512GB,,,,,,Intel Core i7-1365U,100.0,2.0,"13,840",15.0,Intel UHD Graphics 770,fuzzy_tier_validated,100.0,"5,967",567,230.0,False,13,i7,i7,
1386,250000.0,2025 08 11T10:33:14.000Z,EZZOUAR,JAMAIS UTILIS,NITRO,NVIDIA GEFORCE RTX 4060,INTEL CORE I7 13620H,16GB,512GB,,15.6,165Hz,FHD,DDR5,Intel Core i7-13620H,100.0,6.0,"23,624",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,13,i7,i7,
1387,250000.0,2023 10 26T09:02:56.000Z,EZZOUAR,JAMAIS UTILIS,GALAXY,,INTEL CORE I7 1360P,16GB,512GB,,16.0,120Hz,2880x1800,LPDDR5,Intel Core i7-1360P,100.0,4.0,"18,492",28.0,Intel UHD Graphics 770,fuzzy_tier_validated,100.0,"5,967",567,230.0,False,13,i7,i7,
1388,250000.0,2024 08 17T18:23:38.000Z,BORDJ BOU ARRERIDJ,JAMAIS UTILIS,KATANA,NVIDIA GEFORCE RTX 3060,INTEL CORE I7 12700H,16GB,512GB,,17.3,,,,Intel Core i7-12700H,100.0,6.0,"25,280",45.0,GeForce RTX 3060 12GB,fuzzy_tier_validated,100.0,"16,758",966,170.0,False,12,i7,i7,
1389,250000.0,2022 10 16T08:39:49.000Z,EZZOUAR,JAMAIS UTILIS,XPS,,INTEL CORE I7 1195G7,16GB,512GB,,13.0,,,,Intel Core i7-1195G7 @ 2.90GHz,100.0,4.0,"10,432",28.0,Intel Iris Xe Graphics,fuzzy_tier_validated,100.0,2200,320,15.0,False,11,i7,i7,
1390,250000.0,2025 08 11T09:31:00.000Z,DRARIA,JAMAIS UTILIS,ZENBOOK,NVIDIA GEFORCE GTX 1650,INTEL CORE I7 10750H,16GB,256GB,,15.6,,,,Intel Core i7-10750H @ 2.60GHz,100.0,6.0,"11,503",45.0,GeForce GTX 1650,fuzzy_tier_validated,100.0,"7,871",554,75.0,False,10,i7,i7,
1391,250000.0,2024 10 08T16:05:59.000Z,BLIDA,BON TAT,THINKPAD,NVIDIA GEFORCE GT 820,INTEL CORE I3 4010U,8GB,,500GB,13.6,,,DDR3,Intel Core i3-4010U @ 1.70GHz,100.0,2.0,"1,659",15.0,GeForce GT 120,fuzzy_tier_validated,83.33333333333333,187,46,50.0,False,40,i3,i3,
1392,250000.0,2025 06 24T09:58:16.000Z,KOUBA,BON TAT,MACBOOK,,APPLE M4,16GB,512GB,,13.0,,,,Apple M4 10 Core,100.0,4.0,"23,706",22.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1393,250000.0,2025 07 21T06:44:54.000Z,EZZOUAR,JAMAIS UTILIS,MACBOOK,APPLE 10-CORE GPU,APPLE M3,8GB,256GB,,15.3,,,,Apple M3 8 Core,100.0,4.0,"19,099",20.0,Apple 19-core GPU,fuzzy_tier_validated,85.71428571428571,15000,500,15.0,False,,,,
1394,250000.0,2025 04 24T19:59:34.000Z,ALGER CENTRE,JAMAIS UTILIS,MACBOOK,,APPLE M3,16GB,256GB,,,,,,Apple M3 8 Core,100.0,4.0,"19,099",20.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1395,250000.0,2024 09 22T12:49:46.000Z,KOUBA,BON TAT,MACBOOK,,APPLE M3,8GB,512GB,,14.0,,,,Apple M3 8 Core,100.0,4.0,"19,099",20.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1396,250000.0,2025 07 07T20:47:52.000Z,EL HARRACH,JAMAIS UTILIS,MACBOOK,,APPLE M3,16GB,256GB,,,,,,Apple M3 8 Core,100.0,4.0,"19,099",20.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1397,250000.0,2024 12 02T22:57:28.000Z,CHERCHELL,,MACBOOK,,APPLE M3,8GB,512GB,,,,,,Apple M3 8 Core,100.0,4.0,"19,099",20.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
