gpu_name,g3d_mark,g2d_mark,tdp(w)
AMD Radeon R6 Graphics,550,180,25
AMD Radeon Vega 11 Graphics,1600,280,65
AMD Radeon Vega 8 Graphics,1200,250,15
AMD Radeon Graphics,1800,300,15
Intel UHD Graphics 630,1100,280,50
Intel HD Graphics 5500,550,200,15
Intel HD Graphics 630,900,260,35
Intel HD Graphics 4400,530,272,50
Intel UHD Graphics,1000,237,15
Intel UHD Graphics 750,1500,330,50
AMD Radeon 610M,1500,280,15
Intel HD Graphics 3000,250,130,35
AMD Radeon HD 8370D,300,130,65
AMD Radeon 780M,5000,500,28
Intel HD Graphics 510,500,190,35
AMD Radeon HD 8470D,400,150,65
Intel UHD Graphics 605,700,220,10
AMD Radeon 860M,5500,520,28
AMD Radeon HD 7480D,350,140,65
AMD Radeon Vega 3 Graphics,600,180,15
AMD Radeon 880M,7000,580,28
AMD Radeon Vega 10 Graphics,1500,270,15
AMD Radeon HD 8570D,550,170,65
Intel Arc Graphics,4500,550,28
AMD Radeon Vega 9 Graphics,1300,260,15
Intel GMA 3150,50,30,6
Intel UHD Graphics 730,1200,300,50
Intel Iris Xe Graphics,2200,320,15
AMD Radeon HD 7540D,450,150,65
Intel HD Graphics 610,700,230,35
AMD Radeon R4 Graphics,300,140,25
AMD Radeon R2 Graphics,200,120,15
AMD Radeon 680M,3800,450,28
Apple 19-core GPU,15000,500,15
Apple 38-core GPU,30000,1000,15
Apple 64-core GPU,50000,1500,60
Apple 76-core GPU,60000,1800,15
Adreno X1-85,18000,600,15
Adreno 8cx Gen 3,6000,300,30
RadeonT RX Vega 11,1917,421,0
RadeonT RX 6850M XT,13992,628,165
Radeon RX590 GME,8337,713,175
Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition,1519,325,0
Radeon RX Vega11 Ryzen 7 3750H,1607,337,0
Radeon RX Vega11,1605,405,0
Radeon RX Vega Ryzen 7 5825U,2916,549,0
Radeon RX Vega Ryzen 5 5600GT,9558,1042,0
Radeon RX Vega Ryzen 5 5500U,2356,369,0
Radeon RX Vega Ryzen 3 5300U,2330,582,0
Radeon RX Vega M GL,3927,458,0
Radeon RX Vega M GH,6560,759,0
Radeon RX Vega 8,1540,407,0
Radeon RX Vega 64,13920,783,295
Radeon RX Vega 6 Ryzen 3 3200U,906,275,0
Radeon RX Vega 6,1492,348,0
Radeon RX Vega 56,13009,770,210
Radeon RX Vega 11 Ryzen 7 3750H,1856,414,0
Radeon RX Vega 11 Ryzen 7 3700U,2602,528,0
Radeon RX Vega 11 Ryzen 5 3400GE,1971,461,0
Radeon RX Vega 11 Ryzen 5 3400G,2131,484,0
Radeon RX Vega 11 Ryzen 5 3350GE,2480,499,0
Radeon RX Vega 11 Ryzen 5 3350G,1917,464,0
Radeon RX Vega 11 Processor,1789,457,0
Radeon RX Vega 11 PRD,2402,601,0
Radeon RX Vega 11,2090,508,0
Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,1452,299,0
Radeon RX Vega 10 Ryzen 7 3750H,1845,360,0
Radeon RX Vega 10 Ryzen 7 3700U,1473,319,0
Radeon RX Vega 10 Ryzen 7 3700C,1166,312,0
Radeon RX Vega 10 Ryzen 5 3500U,1778,456,0
Radeon RX Vega 10 Athlon 300U,506,186,0
Radeon RX Vega 10,1628,371,0
Radeon RX Vega - Renoir Ryzen 3 5300U,2312,571,0
Radeon RX 9070 XT,26869,1320,304
Radeon RX 9070 GRE,24418,1215,0
Radeon RX 9070,25423,1274,220
Radeon RX 9060 XT 8GB,19889,1141,150
Radeon RX 9060 XT 16GB,20038,1178,160
Radeon RX 9060,18509,1063,0
Radeon RX 7900M,22511,902,0
Radeon RX 7900 XTX,31329,1282,355
Radeon RX 7900 XT,28969,1239,315
Radeon RX 7900 GRE,27265,1201,260
Radeon RX 7800M,16255,879,0
Radeon RX 7800 XT,24307,1190,263
Radeon RX 780,7658,1093,0
Radeon RX 7700S,15522,766,0
Radeon RX 7700 XT,22639,1162,245
Radeon RX 7700,18635,1085,0
Radeon RX 7650 GRE,18281,1136,0
Radeon RX 7600S,15567,771,75
Radeon RX 7600M XT,14661,931,120
Radeon RX 7600M,10999,861,0
Radeon RX 7600 XT,17285,1029,190
Radeon RX 7600,16553,987,165
Radeon RX 7500,1873,572,0
Radeon RX 7400,11909,1271,0
Radeon RX 6950 XT,28080,1076,335
Radeon RX 6900 XT,26699,1061,300
Radeon RX 6850M XT,17639,652,0
Radeon RX 6850M,12274,714,0
Radeon RX 6800S,15727,731,100
Radeon RX 6800M,13266,534,145
Radeon RX 6800 XT,25002,1040,300
Radeon RX 6800,22030,996,250
Radeon RX 6750 XT,20706,980,250
Radeon RX 6750 GRE 12GB,20178,1031,0
Radeon RX 6750 GRE 10GB,18871,967,0
Radeon RX 6700S,15071,736,80
Radeon RX 6700M,13584,554,135
Radeon RX 6700 XT,19742,953,230
Radeon RX 6700,18910,938,175
Radeon RX 670,3129,385,0
Radeon RX 6650M XT,17071,688,0
Radeon RX 6650M,15190,762,0
Radeon RX 6650 XT,17129,924,176
Radeon RX 6600S,13016,628,80
Radeon RX 6600M,13923,723,100
Radeon RX 6600 XT,16444,913,160
Radeon RX 6600 LE,13762,843,0
Radeon RX 6600,15080,896,132
Radeon RX 6550M,9663,491,0
Radeon RX 6500M,7346,369,50
Radeon RX 6500 XT,9623,817,107
Radeon RX 6500,7657,800,0
Radeon RX 6450M,6601,503,0
Radeon RX 6400,7742,736,53
Radeon RX 640,2207,341,50
Radeon RX 6300M,6421,384,0
Radeon RX 6300,5335,694,0
Radeon RX 590,9306,790,175
Radeon RX 580X,7529,668,185
Radeon RX 580 2048SP,7627,695,150
Radeon RX 580,8794,769,185
Radeon RX 570X,1923,750,120
Radeon RX 5700m 8GB 256 bit Ryzen 5 5600U,1599,560,0
Radeon RX 5700 XT 50th Anniversary,16580,942,235
Radeon RX 5700 XT,16135,921,225
Radeon RX 5700,14268,879,180
Radeon RX 560X,3415,433,75
Radeon RX 5600M,8879,486,150
